x_nodes,h_total,u,T_total,T,p_total,p,dp_total,rho_total,rho,c,eta,Lambda,v,Re,Ma
manifold,1144336.435252339,704256.1995940317,96.8,96.8,13400000.0,13400000.0,0,30.448992953483113,30.448992953483113,1025.4251488324305,5.607627049820224e-06,,0,0,0
-2.42475,1144336.435252339,703634.4465090284,96.8,96.64062595984556,13370758.510742871,13310060.160107233,5.299407317908043,30.396325425900905,30.340357888428727,1023.1650099862704,5.593911655714862e-06,0.01085483891012968,62.143717607039,10111686.144285724,0.060736750182527145
-2.4245,1144336.435252339,703634.4942047007,96.8,96.64062582119868,13370753.211335553,13310054.838187192,5.299408970921362,30.396315874759445,30.340348306168085,1023.164887149612,5.5939108408588375e-06,0.010854838867779791,62.143737233619866,10111687.617238836,0.06073677665653993
-2.4242500000000002,1144336.435252339,703634.5419004009,96.8,96.64062568255153,13370747.911926582,13310049.516265428,5.299410623936655,30.396306323612688,30.340338723902086,1023.164764312921,5.5939100260025696e-06,0.010854838825429888,62.1437568602241,10111689.090192815,0.06073680313058385
-2.424,1144336.435252339,703634.5895961291,96.8,96.64062554390418,13370742.612515958,13310044.194342006,5.299412276953898,30.396296772460715,30.340329141630846,1023.1646414761979,5.593909211146068e-06,0.010854838783079971,62.143776486851465,10111690.56314765,0.06073682960465863
-2.42375,1144336.435252339,703634.6372918859,96.8,96.64062540525661,13370737.313103681,13310038.872416893,5.299413929973107,30.39628722130349,30.340319559354302,1023.1645186394422,5.5939083962893315e-06,0.01085483874073004,62.143796113502084,10111692.036103332,0.060736856078764424
-2.4235,1144336.435252339,703634.68498767,96.8,96.64062526660884,13370732.01368975,13310033.550490122,5.299415582994273,30.39627767014102,30.340309977072486,1023.1643958026556,5.5939075814323606e-06,0.010854838698380099,62.143815740175896,10111693.509059869,0.06073688255290109
-2.42325,1144336.435252339,703634.7326834829,96.8,96.64062512796087,13370726.714274168,13310028.22856167,5.299417236017406,30.3962681189733,30.34030039478538,1023.1642729658354,5.5939067665751575e-06,0.010854838656030145,62.143835366872956,10111694.982017256,0.060736909027068825
-2.423,1144336.435252339,703634.7803793236,96.8,96.64062498931267,13370721.414856931,13310022.906631518,5.2994188890424985,30.39625856780032,30.34029081249297,1023.1641501289835,5.593905951717715e-06,0.010854838613680175,62.143854993593266,10111696.454975504,0.06073693550126752
-2.42275,1144336.435252339,703634.8280751919,96.8,96.64062485066428,13370716.115438042,13310017.584699715,5.299420542069547,30.396249016622107,30.340281230195302,1023.1640272921006,5.593905136860041e-06,0.010854838571330194,62.143874620336746,10111697.9279346,0.06073696197549706
